,,tree:round@180:270,,r_br,r_h|coin:star,r_h|coin:star,r_h,r_x|coin:star,r_h,r_h|coin:star,r_bl,,,,tree:evergreen@280:250,,,
,,,bush@180:300,r_v|coin:star,house@256:280,school@256:270,,r_v,house@256:280,library@256:270,r_v|coin:star,,r_br,r_h|coin:star,r_bl,,,
,,,,r_x|coin:star,r_h,r_h|coin:star,r_h,r_x|spawn:player@256:330,r_h|coin:star,r_h,r_x|coin:star,r_h,r_x|coin:star|kraken:road@256:256*1.1,r_h,r_x,r_h|coin:star,r_bl,
,,tree:evergreen@240:260,shop@256:280,r_v|coin:star,school@256:270,house@256:280,,r_v,library@256:270,bush@210:260,r_v,house@256:280,r_v|coin:star,house@256:280,r_v,,r_v,shop@256:280
,r_br,r_h,r_h,r_x|coin:star,r_h,r_h|coin:star,r_bl,,r_v,house@256:280,fire_station@256:270,r_v,library@256:270,r_v|coin:star,,r_tr,r_h,r_x|coin:star
fire_station@256:270,r_v|coin:star,house@256:280,house@256:280,r_v,shop@256:280,tree:round@250:260,r_v,,r_x|coin:star,r_h|coin:star,r_h,r_x|coin:star,r_h,r_tl,,,house@256:280,r_v
house@256:280,r_v,house@256:280,bush@300:250,r_v,,police@256:270,r_v,library@256:270,r_v|coin:star,school@256:270,,r_v,shop@256:280,tree:evergreen@200:280,,r_br,r_h|coin:star,r_tl
,r_x|coin:star,r_h,r_h,r_x|coin:star,r_h,r_h,r_x|coin:star,r_h,r_x|kraken:pop@256:256*1.05,r_h,r_h,r_x,r_h,r_bl,,r_v,library@256:270,
,r_v,house@256:280,tree:round@180:300,r_v,house@256:280,house@256:280,r_v,school@256:270,r_v,,school@256:270,r_v,library@256:270,r_v,police@256:270,r_v,,bush@260:260
,r_tr,r_h,r_h,r_x|coin:star,r_h,r_h,r_tl,,r_tr,r_h,r_h,r_x|coin:star,r_h,r_x,r_h,r_x,r_h,r_bl
,,shop@256:280,r_v,house@256:280,tree:evergreen@270:250,,,,,fire_station@256:270,r_v,library@256:270,r_v,,r_v,,r_v,
,r_br,r_h,r_x|coin:star,r_x,r_h,r_bl,,bush@180:280,r_br,r_h,r_h,r_x|coin:star,r_h,r_tl,,r_tr,r_h,r_tl
house@256:280,r_v,house@256:280,shop@256:280,r_v,house@256:280,r_v,house@256:280,tree:round@260:260,r_v,,,r_v,library@256:270,,,tree:evergreen@260:260,school@256:270,
,r_tr,r_h,r_h,r_tl,,r_tr,r_h,r_h,r_tl,,r_tr,r_h,r_h,r_tl,,,bush@180:300,
